Question ID,Question,Comparison,Q_Chart_Type,Q _Chart_Subtype,Q_Offset_Size,C_Chart_Type,C_Chart_Subtype,C_Offset_Size,Reversed
TM1A,Partial,Full,Offset,Full,1,Offset,Full,1,0
TM1B,Partial,Full,Offset,Full,1,Offset,Full,2,0
TM1C,Partial,Full,Offset,Full,1,Offset,Full,1,0
TM1D,Partial,Full,Offset,Full,1,Ring,Full,1,0
TM2A,Partial,Full,Exchange,Offset,2,Exchange,Offset,2,0
TM2B,Partial,Full,Exchange,Offset,2,Exchange,Offset,2,0
TM2C,Partial,Full,Exchange,Offset,2,Exchange,Offset,2,0
TM2D,Partial,Full,Exchange,Offset,2,Exchange,Offset,2,0
TM3A,Partial,Partial,Offset,Full,2,Offset,Full,2,0
TM3B,Partial,Partial,Offset,Full,3,Offset,Grouped,2,0
TM3C,Partial,Partial,Offset,Full,4,Offset,Full,2,0
TM3D,Partial,Partial,Offset,Full,5,Offset,Full,1,0
M1A,Partial,Full,Offset,Full,3,Offset,Grouped,3,0
M1B,Partial,Full,Offset,Full,3,Offset,Full,4,0
M1C,Partial,Full,Offset,Full,3,Offset,Full,3,0
M1D,Partial,Full,Offset,Full,3,Offset,Full,1,0
M2A,Partial,Full,Offset,Full,4,Offset,Full,4,0
M2B,Partial,Full,Offset,Full,4,Offset,Full,5,0
M2C,Partial,Full,Offset,Full,4,Ring,Full,5,0
M2D,Partial,Full,Offset,Full,4,Offset,Grouped,4,0
M3A,Partial,Partial,Offset,Full,3,Offset,Full,3,0
M3B,Partial,Partial,Offset,Full,3,Offset,Full,4,0
M3C,Partial,Partial,Offset,Full,3,Offset,Full,3,0
M3D,Partial,Partial,Offset,Full,3,Offset,Full,3,0
M4A,Partial,Partial,Ring,Full,2,Ring,Full,2,0
M4B,Partial,Partial,Ring,Full,2,Ring,Full,2,1
M4C,Partial,Partial,Ring,Full,2,Ring,Full,2,0
M4D,Partial,Partial,Ring,Full,2,Offset,Full,2,0
M5A,Partial,Full,Stencil,,,Stencil,,,0
M5B,Partial,Full,Stencil,,,Stencil,,,0
M5C,Partial,Full,Stencil,,,Stencil,,,0
M5D,Partial,Full,Stencil,,,Stencil,,,0
M6A,Partial,Partial,Stencil,,,Stencil,,,0
M6B,Partial,Partial,Stencil,,,Stencil,,,0
M6C,Partial,Partial,Stencil,,,Stencil,,,0
M6D,Partial,Partial,Stencil,,,Stencil,,,0
TF1A,Full,Full,Offset,Full,1,Offset,Full,1,0
TF1B,Full,Full,Offset,Full,1,Offset,Full,2,0
TF1C,Full,Full,Offset,Full,1,Offset,Full,1,0
TF1D,Full,Full,Offset,Full,1,Ring,Full,1,0
TF2A,Full,Full,Exchange,Offset,2,Exchange,Offset,2,0
TF2B,Full,Full,Exchange,Offset,2,Exchange,Grouped,2,0
TF2C,Full,Full,Exchange,Offset,2,Exchange,Offset,2,0
TF2D,Full,Full,Exchange,Offset,2,Exchange,Offset,2,0
TF3A,Full,Partial,Offset,Full,2,Offset,Full,2,0
TF3B,Full,Partial,Offset,Full,2,Offset,Grouped,2,0
TF3C,Full,Partial,Offset,Full,2,Offset,Full,2,0
TF3D,Full,Partial,Offset,Full,2,Offset,Full,1,0
F1A,Full,Full,Offset,Full,3,Offset,Grouped,3,0
F1B,Full,Full,Offset,Full,3,Offset,Full,4,0
F1C,Full,Full,Offset,Full,3,Offset,Full,3,0
F1D,Full,Full,Offset,Full,3,Offset,Full,1,0
F2A,Full,Full,Offset,Full,4,Offset,Full,4,0
F2B,Full,Full,Offset,Full,4,Offset,Full,5,0
F2C,Full,Full,Offset,Full,4,Ring,Full,5,0
F2D,Full,Full,Offset,Full,4,Offset,Full,4,0
F3A,Full,Partial,Offset,Full,3,Offset,Full,3,0
F3B,Full,Partial,Offset,Full,3,Offset,Full,4,0
F3C,Full,Partial,Offset,Full,3,Offset,Full,3,0
F3D,Full,Partial,Offset,Full,3,Offset,Full,3,0
F4A,Full,Partial,Ring,Full,2,Ring,Full,2,0
F4B,Full,Partial,Ring,Full,2,Ring,Full,2,1
F4C,Full,Partial,Ring,Full,2,Ring,Full,2,0
F4D,Full,Partial,Ring,Full,2,Offset,Full,2,0
F5A,Full,Full,Stencil,,,Stencil,,,0
F5B,Full,Full,Stencil,,,Stencil,,,0
F5C,Full,Full,Stencil,,,Stencil,,,0
F5D,Full,Full,Stencil,,,Stencil,,,0
F6A,Full,Partial,Stencil,,,Stencil,,,0
F6B,Full,Partial,Stencil,,,Stencil,,,0
F6C,Full,Partial,Stencil,,,Stencil,,,0
F6D,Full,Partial,Stencil,,,Stencil,,,0
F7A,Full,Partial,Ring,Full,2,Ring,Full,2,0
F7B,Full,Partial,Ring,Full,2,Ring,Full,2,1
F7C,Full,Partial,Ring,Full,2,Ring,Full,2,0
F7D,Full,Partial,Ring,Full,2,Offset,Full,2,0
F8A,Full,Full,Offset,Full,3,Offset,Grouped,3,0
F8B,Full,Full,Offset,Full,3,Offset,Full,4,0
F8C,Full,Full,Offset,Full,3,Offset,Full,3,0
F8D,Full,Full,Offset,Full,3,Offset,Full,1,0
