question_id,answer_id,advanced,beginner,intermediate,none
M1,A1,,,,1.0
M1,A2,1.0,,,
M1,A3,1.0,,3.0,1.0
M1,A4,1.0,1.0,3.0,
M2,A1,1.0,1.0,1.0,1.0
M2,A2,2.0,1.0,2.0,1.0
M2,A3,1.0,,,
M2,A4,,2.0,,
M3,A1,1.0,,2.0,1.0
M3,A2,2.0,1.0,,1.0
M3,A3,1.0,2.0,1.0,1.0
M3,A4,2.0,1.0,2.0,1.0
M4,A1,1.0,1.0,,
M4,A2,1.0,,,
M4,A3,1.0,1.0,3.0,1.0
M6,A2,3.0,,3.0,
M6,A3,4.0,1.0,2.0,
M6,A4,,1.0,1.0,
M7,A1,2.0,2.0,1.0,
M7,A2,3.0,1.0,2.0,1.0
M7,A4,3.0,2.0,2.0,1.0
M8,A1,1.0,,,
M8,A2,1.0,,,
M8,A3,1.0,1.0,2.0,1.0
M8,A4,1.0,,,
M9,A1,,1.0,,
M9,A2,1.0,,,
M9,A3,3.0,2.0,3.0,
M9,A4,2.0,1.0,3.0,
T1,A1,,1.0,,1.0
T1,A2,1.0,,,
T1,A3,3.0,2.0,3.0,
T1,A4,,,,1.0
T2,A1,3.0,1.0,2.0,
T2,A2,,2.0,1.0,
T2,A3,1.0,1.0,2.0,1.0
T2,A4,,2.0,,
T3,A1,3.0,,3.0,
T3,A2,,1.0,,
T3,A3,3.0,1.0,3.0,1.0
T3,A4,3.0,,3.0,
