question_id,answer_id,programming_experience,answer_incorrect
M1,A1,advanced,6
M1,A1,beginner,5
M1,A1,intermediate,8
M1,A1,none,1
M1,A2,advanced,2
M1,A2,intermediate,4
M1,A3,advanced,4
M1,A3,beginner,2
M1,A3,intermediate,1
M1,A3,none,1
M1,A4,advanced,1
M1,A4,beginner,1
M2,A1,advanced,3
M2,A1,beginner,2
M2,A1,intermediate,5
M2,A1,none,1
M2,A2,advanced,4
M2,A2,beginner,2
M2,A2,intermediate,5
M2,A2,none,1
M2,A3,advanced,1
M2,A3,beginner,1
M2,A4,advanced,5
M2,A4,beginner,4
M2,A4,intermediate,11
M3,A1,advanced,11
M3,A1,beginner,8
M3,A1,intermediate,12
M3,A1,none,3
M3,A2,beginner,2
M3,A3,advanced,7
M3,A3,beginner,4
M3,A3,intermediate,8
M3,A3,none,2
M3,A4,advanced,8
M3,A4,beginner,7
M3,A4,intermediate,11
M3,A4,none,1
M4,A1,advanced,8
M4,A1,beginner,7
M4,A1,intermediate,10
M4,A1,none,3
M4,A2,beginner,4
M4,A2,intermediate,1
M4,A3,advanced,6
M4,A3,beginner,5
M4,A3,intermediate,5
M4,A4,advanced,1
M4,A4,intermediate,1
M6,A2,advanced,5
M6,A2,beginner,5
M6,A2,intermediate,6
M6,A2,none,1
M6,A4,advanced,7
M6,A4,beginner,5
M6,A4,intermediate,7
M7,A1,advanced,2
M7,A1,intermediate,1
M7,A2,advanced,2
M7,A2,beginner,2
M7,A2,intermediate,5
M7,A2,none,1
M7,A4,advanced,14
M7,A4,beginner,6
M7,A4,intermediate,12
M7,A4,none,3
T1,A1,advanced,2
T1,A1,beginner,3
T1,A1,intermediate,2
T1,A1,none,1
T1,A2,advanced,1
T1,A2,beginner,2
T1,A2,intermediate,2
T1,A3,advanced,1
T1,A3,beginner,4
T1,A3,intermediate,3
T1,A3,none,1
T1,A4,advanced,2
T1,A4,beginner,1
T2,A1,advanced,3
T2,A1,intermediate,2
T2,A2,advanced,2
T2,A2,beginner,3
T2,A2,intermediate,4
T2,A3,advanced,6
T2,A3,beginner,5
T2,A3,intermediate,4
T2,A3,none,1
T2,A4,advanced,4
T2,A4,beginner,3
T2,A4,intermediate,5
T2,A4,none,2
T3,A1,advanced,9
T3,A1,beginner,6
T3,A1,intermediate,11
T3,A1,none,2
T3,A2,advanced,2
T3,A2,beginner,4
T3,A2,intermediate,5
T3,A2,none,1
T3,A3,advanced,10
T3,A3,beginner,8
T3,A3,intermediate,10
T3,A3,none,3
T3,A4,advanced,2
T3,A4,beginner,1
T3,A4,intermediate,3
T3,A4,none,1
