question_id,answer_id,advanced,beginner,intermediate,none
M1,A1,6.0,5.0,8.0,1.0
M1,A2,2.0,,4.0,
M1,A3,4.0,2.0,1.0,1.0
M1,A4,1.0,1.0,,
M2,A1,3.0,2.0,5.0,1.0
M2,A2,4.0,2.0,5.0,1.0
M2,A3,1.0,1.0,,
M2,A4,5.0,4.0,11.0,
M3,A1,11.0,8.0,12.0,3.0
M3,A2,,2.0,,
M3,A3,7.0,4.0,8.0,2.0
M3,A4,8.0,7.0,11.0,1.0
M4,A1,8.0,7.0,10.0,3.0
M4,A2,,4.0,1.0,
M4,A3,6.0,5.0,5.0,
M4,A4,1.0,,1.0,
M6,A2,5.0,5.0,6.0,1.0
M6,A4,7.0,5.0,7.0,
M7,A1,2.0,,1.0,
M7,A2,2.0,2.0,5.0,1.0
M7,A4,14.0,6.0,12.0,3.0
T1,A1,2.0,3.0,2.0,1.0
T1,A2,1.0,2.0,2.0,
T1,A3,1.0,4.0,3.0,1.0
T1,A4,2.0,1.0,,
T2,A1,3.0,,2.0,
T2,A2,2.0,3.0,4.0,
T2,A3,6.0,5.0,4.0,1.0
T2,A4,4.0,3.0,5.0,2.0
T3,A1,9.0,6.0,11.0,2.0
T3,A2,2.0,4.0,5.0,1.0
T3,A3,10.0,8.0,10.0,3.0
T3,A4,2.0,1.0,3.0,1.0
