,experiment_id,question_id,percentage_correct,answer_id,answer_incorrect,programming_experience,hpc_experience,written,comments
0,510621970.541455,T1,0.5,A1,True,beginner,intermediate,intermediate,
1,510621970.541455,T1,0.5,A2,False,beginner,intermediate,intermediate,
2,510621970.541455,T1,0.5,A3,True,beginner,intermediate,intermediate,
3,510621970.541455,T1,0.5,A4,False,beginner,intermediate,intermediate,
4,510621970.541455,T2,0.75,A1,False,beginner,intermediate,intermediate,
5,510621970.541455,T2,0.75,A2,False,beginner,intermediate,intermediate,
6,510621970.541455,T2,0.75,A3,False,beginner,intermediate,intermediate,
7,510621970.541455,T2,0.75,A4,True,beginner,intermediate,intermediate,
8,510621970.541455,T3,0.75,A1,True,beginner,intermediate,intermediate,
9,510621970.541455,T3,0.75,A2,False,beginner,intermediate,intermediate,
10,510621970.541455,T3,0.75,A3,False,beginner,intermediate,intermediate,
11,510621970.541455,T3,0.75,A4,False,beginner,intermediate,intermediate,
12,510621970.541455,M1,1.0,A1,False,beginner,intermediate,intermediate,
13,510621970.541455,M1,1.0,A2,False,beginner,intermediate,intermediate,
14,510621970.541455,M1,1.0,A3,False,beginner,intermediate,intermediate,
15,510621970.541455,M1,1.0,A4,False,beginner,intermediate,intermediate,
16,510621970.541455,M2,1.0,A1,False,beginner,intermediate,intermediate,
17,510621970.541455,M2,1.0,A2,False,beginner,intermediate,intermediate,
18,510621970.541455,M2,1.0,A3,False,beginner,intermediate,intermediate,
19,510621970.541455,M2,1.0,A4,False,beginner,intermediate,intermediate,
20,510621970.541455,M3,0.5,A1,False,beginner,intermediate,intermediate,
21,510621970.541455,M3,0.5,A2,False,beginner,intermediate,intermediate,
22,510621970.541455,M3,0.5,A3,True,beginner,intermediate,intermediate,
23,510621970.541455,M3,0.5,A4,True,beginner,intermediate,intermediate,
24,510621970.541455,M4,0.75,A1,True,beginner,intermediate,intermediate,
25,510621970.541455,M4,0.75,A2,False,beginner,intermediate,intermediate,
26,510621970.541455,M4,0.75,A3,False,beginner,intermediate,intermediate,
27,510621970.541455,M4,0.75,A4,False,beginner,intermediate,intermediate,
28,510621970.541455,M6,0.75,A1,False,beginner,intermediate,intermediate,
29,510621970.541455,M6,0.75,A2,True,beginner,intermediate,intermediate,
30,510621970.541455,M6,0.75,A3,False,beginner,intermediate,intermediate,
31,510621970.541455,M6,0.75,A4,False,beginner,intermediate,intermediate,
32,510621970.541455,M7,0.5,A1,False,beginner,intermediate,intermediate,
33,510621970.541455,M7,0.5,A2,True,beginner,intermediate,intermediate,
34,510621970.541455,M7,0.5,A3,False,beginner,intermediate,intermediate,
35,510621970.541455,M7,0.5,A4,True,beginner,intermediate,intermediate,
36,510622484.909107,T1,1.0,A1,False,intermediate,none,,
37,510622484.909107,T1,1.0,A2,False,intermediate,none,,
38,510622484.909107,T1,1.0,A3,False,intermediate,none,,
39,510622484.909107,T1,1.0,A4,False,intermediate,none,,
40,510622484.909107,T2,1.0,A1,False,intermediate,none,,
41,510622484.909107,T2,1.0,A2,False,intermediate,none,,
42,510622484.909107,T2,1.0,A3,False,intermediate,none,,
43,510622484.909107,T2,1.0,A4,False,intermediate,none,,
44,510622484.909107,T3,0.5,A1,True,intermediate,none,,
45,510622484.909107,T3,0.5,A2,False,intermediate,none,,
46,510622484.909107,T3,0.5,A3,True,intermediate,none,,
47,510622484.909107,T3,0.5,A4,False,intermediate,none,,
48,510622484.909107,M1,0.75,A1,True,intermediate,none,,
49,510622484.909107,M1,0.75,A2,False,intermediate,none,,
50,510622484.909107,M1,0.75,A3,False,intermediate,none,,
51,510622484.909107,M1,0.75,A4,False,intermediate,none,,
52,510622484.909107,M2,0.75,A1,False,intermediate,none,,
53,510622484.909107,M2,0.75,A2,False,intermediate,none,,
54,510622484.909107,M2,0.75,A3,False,intermediate,none,,
55,510622484.909107,M2,0.75,A4,True,intermediate,none,,
56,510622484.909107,M3,0.75,A1,True,intermediate,none,,
57,510622484.909107,M3,0.75,A2,False,intermediate,none,,
58,510622484.909107,M3,0.75,A3,False,intermediate,none,,
59,510622484.909107,M3,0.75,A4,False,intermediate,none,,
60,510622484.909107,M4,0.75,A1,False,intermediate,none,,
61,510622484.909107,M4,0.75,A2,False,intermediate,none,,
62,510622484.909107,M4,0.75,A3,True,intermediate,none,,
63,510622484.909107,M4,0.75,A4,False,intermediate,none,,
64,510622484.909107,M6,0.75,A1,False,intermediate,none,,
65,510622484.909107,M6,0.75,A2,False,intermediate,none,,
66,510622484.909107,M6,0.75,A3,False,intermediate,none,,
67,510622484.909107,M6,0.75,A4,True,intermediate,none,,
68,510622484.909107,M7,0.5,A1,True,intermediate,none,,
69,510622484.909107,M7,0.5,A2,True,intermediate,none,,
70,510622484.909107,M7,0.5,A3,False,intermediate,none,,
71,510622484.909107,M7,0.5,A4,False,intermediate,none,,
72,510623123.347915,T1,1.0,A1,False,intermediate,beginner,beginner,
73,510623123.347915,T1,1.0,A2,False,intermediate,beginner,beginner,
74,510623123.347915,T1,1.0,A3,False,intermediate,beginner,beginner,
75,510623123.347915,T1,1.0,A4,False,intermediate,beginner,beginner,
76,510623123.347915,T2,0.75,A1,False,intermediate,beginner,beginner,
77,510623123.347915,T2,0.75,A2,False,intermediate,beginner,beginner,
78,510623123.347915,T2,0.75,A3,False,intermediate,beginner,beginner,
79,510623123.347915,T2,0.75,A4,True,intermediate,beginner,beginner,
80,510623123.347915,T3,0.75,A1,True,intermediate,beginner,beginner,
81,510623123.347915,T3,0.75,A2,False,intermediate,beginner,beginner,
82,510623123.347915,T3,0.75,A3,False,intermediate,beginner,beginner,
83,510623123.347915,T3,0.75,A4,False,intermediate,beginner,beginner,
84,510623123.347915,M1,1.0,A1,False,intermediate,beginner,beginner,
85,510623123.347915,M1,1.0,A2,False,intermediate,beginner,beginner,
86,510623123.347915,M1,1.0,A3,False,intermediate,beginner,beginner,
87,510623123.347915,M1,1.0,A4,False,intermediate,beginner,beginner,
88,510623123.347915,M2,0.5,A1,True,intermediate,beginner,beginner,
89,510623123.347915,M2,0.5,A2,False,intermediate,beginner,beginner,
90,510623123.347915,M2,0.5,A3,False,intermediate,beginner,beginner,
91,510623123.347915,M2,0.5,A4,True,intermediate,beginner,beginner,
92,510623123.347915,M3,0.5,A1,True,intermediate,beginner,beginner,
93,510623123.347915,M3,0.5,A2,False,intermediate,beginner,beginner,
94,510623123.347915,M3,0.5,A3,True,intermediate,beginner,beginner,
95,510623123.347915,M3,0.5,A4,False,intermediate,beginner,beginner,
96,510623123.347915,M4,0.75,A1,True,intermediate,beginner,beginner,
97,510623123.347915,M4,0.75,A2,False,intermediate,beginner,beginner,
98,510623123.347915,M4,0.75,A3,False,intermediate,beginner,beginner,
