,0,1,2,3,4,5,6
comparison,21.0,13.0,10.0,14.0,16.0,11.0,19.0
line angle,17.0,,5.0,6.0,9.0,4.0,14.0
uncertainty,16.0,13.0,11.0,4.0,10.0,4.0,10.0
certainty,8.0,6.0,1.0,6.0,2.0,4.0,10.0
line direction,7.0,,7.0,4.0,6.0,2.0,5.0
background,6.0,3.0,13.0,14.0,2.0,4.0,7.0
same pattern,5.0,5.0,5.0,2.0,4.0,1.0,7.0
line destination,5.0,,,,6.0,,2.0
different pattern,4.0,2.0,,1.0,,,
cells,4.0,1.0,5.0,6.0,1.0,1.0,2.0
pattern extrapolation,4.0,1.0,1.0,,,,1.0
line crossing,4.0,,,,1.0,,4.0
profession,3.0,,,4.0,2.0,1.0,
line grouping,3.0,,,1.0,1.0,2.0,
horizontal symmetry,3.0,,,,1.0,,
columns,3.0,,,,,,2.0
connected lines,3.0,,,,,,
differences,3.0,,,,,,
partial representation,3.0,,,,,,
symmetry,3.0,,,,,,
line density,2.0,8.0,4.0,2.0,6.0,,3.0
fragment/whole,2.0,,,,,,4.0
incomplete representation,2.0,,,,,,
separate lines,2.0,,,,,,
different patterns,1.0,3.0,4.0,2.0,2.0,4.0,
similarities,1.0,1.0,,,,,
direction,1.0,,2.0,,1.0,,
line origin,1.0,,,2.0,7.0,,3.0
one line (ring),1.0,,,2.0,2.0,3.0,1.0
bars,1.0,,,1.0,,,
lines relative to background,1.0,,,,1.0,,
difference,1.0,,,,,,4.0
C++,1.0,,,,,,
Java,1.0,,,,,,
Python,1.0,,,,,,
UA,1.0,,,,,,
coding,1.0,,,,,,
counting lines,1.0,,,,,,
different chart,1.0,,,,,,
exact same pattern,1.0,,,,,,
important,1.0,,,,,,
insufficient information,1.0,,,,,,
line desnity,1.0,,,,,,
line in reference to line,1.0,,,,,,
missing information,1.0,,,,,,
no HPC exprience,1.0,,,,,,
number of lines,1.0,,,,,,
same characteristics,1.0,,,,,,
same chart,1.0,,,,,,
whole chart,1.0,,,,,,
transformation,,14.0,1.0,,2.0,,10.0
offset,,13.0,6.0,,,,1.0
grouped offset,,8.0,,,,,
angle,,6.0,4.0,,,,
conditional,,3.0,1.0,,1.0,,
critical property,,3.0,,,,,
rotation,,2.0,1.0,,,,5.0
learning effect,,2.0,1.0,,,,
length,,2.0,,,,,
networking,,2.0,,,,,
unknown characteristic,,2.0,,,,,
vector,,2.0,,,,,
